,1. open,2. high,3. low,4. close,5. volume
2022-06-27 15:35:00,243.9760,243.9780,243.3700,243.7890,384729
2022-06-27 15:30:00,244.4630,244.4630,243.9970,244.0000,249546
2022-06-27 15:25:00,244.1700,244.7000,243.9570,244.4630,366483
2022-06-27 15:20:00,244.5850,244.6670,244.1130,244.1490,264258
2022-06-27 15:15:00,244.5870,244.8170,244.1870,244.6100,403149
2022-06-27 15:10:00,244.1130,244.6970,243.8840,244.6320,423735
2022-06-27 15:05:00,243.4170,244.1880,243.0030,244.1090,521490
2022-06-27 15:00:00,244.3730,244.6900,243.4270,243.4970,407718
2022-06-27 14:55:00,244.6330,244.9630,244.3640,244.4270,308703
2022-06-27 14:50:00,245.3700,245.3850,244.5400,244.6820,303897
2022-06-27 14:45:00,244.7370,245.5630,244.6400,245.3300,611118
2022-06-27 14:40:00,244.7930,244.9730,244.4600,244.7700,386067
2022-06-27 14:35:00,244.0430,244.9890,243.8370,244.7270,443937
2022-06-27 14:30:00,243.6470,244.0570,243.5000,244.0570,237627
2022-06-27 14:25:00,244.0250,244.0630,243.5030,243.7300,230259
2022-06-27 14:20:00,244.4320,244.4970,243.9250,244.0390,255213
2022-06-27 14:15:00,243.9540,244.4670,243.6700,244.4500,314739
2022-06-27 14:10:00,243.7470,244.1370,243.5130,243.9310,309639
2022-06-27 14:05:00,243.4680,244.0400,243.0800,243.7970,429378
2022-06-27 14:00:00,242.9430,243.6030,242.7570,243.4850,423267
2022-06-27 13:55:00,243.4030,243.4200,242.8700,243.0050,215679
2022-06-27 13:50:00,243.2300,243.6600,243.0030,243.4400,470472
2022-06-27 13:45:00,243.1700,243.2800,242.5660,243.1320,518076
2022-06-27 13:40:00,244.0900,244.2170,242.7930,243.1770,660921
2022-06-27 13:35:00,243.9400,244.4070,243.5700,244.1270,517137
2022-06-27 13:30:00,244.4700,244.5470,243.7670,243.9370,419904
2022-06-27 13:25:00,244.9170,244.9670,244.3700,244.4900,250095
2022-06-27 13:20:00,245.2670,245.3070,244.7870,244.8750,170547
2022-06-27 13:15:00,244.8770,245.2670,244.7300,245.1800,350184
2022-06-27 13:10:00,244.6330,245.3330,244.6330,244.9170,363564
2022-06-27 13:05:00,244.5030,244.7870,244.0200,244.6060,331992
2022-06-27 13:00:00,245.1880,245.2670,244.2470,244.5370,358281
2022-06-27 12:55:00,245.3160,245.4870,244.5070,245.2230,404349
2022-06-27 12:50:00,245.1500,245.5830,244.9670,245.3500,472239
2022-06-27 12:45:00,245.2760,245.4330,244.7070,245.1750,496008
2022-06-27 12:40:00,244.1700,245.3900,243.9670,245.2430,561534
2022-06-27 12:35:00,243.9130,244.4500,243.9030,244.2000,325371
2022-06-27 12:30:00,244.4630,244.5060,243.5630,243.9600,628479
2022-06-27 12:25:00,244.3330,244.6170,243.7570,244.4630,631512
2022-06-27 12:20:00,245.5460,245.5700,244.2830,244.3460,561156
2022-06-27 12:15:00,245.7870,246.0200,245.0630,245.5120,462225
2022-06-27 12:10:00,245.6110,246.1100,245.2500,245.7820,428979
2022-06-27 12:05:00,245.6250,245.6830,245.1570,245.5630,303294
2022-06-27 12:00:00,246.3730,246.6200,245.1030,245.5430,681717
